id,parte,modulo_numero,modulo_titulo,numero,dificuldade,enunciado,codigo_placa,alternativa_correta,comentario,incorreta_1,incorreta_2,incorreta_3,fonte
p1-m1-q11,1,1,"Placas, Cores e Caminhos",11,intermediario,Faixa de pedestre elevada serve para:,,Forçar redução de velocidade e dar prioridade segura ao pedestre.,Dispositivo físico de acalmamento de tráfego.,Enfeitar a rua sem função prática.,Servir de estacionamento temporário.,Facilitar ultrapassagens.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q12,1,1,"Placas, Cores e Caminhos",12,facil,A presença de uma faixa de pedestres exige do motorista:,,Parar e dar preferência ao pedestre.,Prioridade máxima ao pedestre.,Acelerar para liberar logo a via.,Tocar buzina para o pedestre correr.,Virar o volante sobre a faixa.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q13,1,1,"Placas, Cores e Caminhos",13,facil,Faixa exclusiva de ônibus (horário válido):,,"Não pode ser usada por carro, só cruzar para conversão onde permitido.",Exclusividade melhora o transporte coletivo e a segurança.,Pode ser usada para adiantar a viagem.,Pode estacionar “rapidinho”.,Pode trafegar à noite sempre.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q14,1,1,"Placas, Cores e Caminhos",14,intermediario,Motociclista em semáforo deve parar:,,"No bolsão de motos, se existir, ou atrás da faixa de pedestres.","O bolsão é espaço seguro, caso não exista, respeita-se a faixa.",No meio dos carros.,"Depois da faixa de pedestres, já na esquina.",Em cima da faixa de pedestres,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q15,1,1,"Placas, Cores e Caminhos",15,facil,Como os veículos são identificados formalmente?,,"São identificados por meio de placas externas dianterias e traseiras, com letras e números.",A identificação de veículos por placas está prevista no art. 115 do CTB.,Com cores que o proprietário escolhe.,Com enfeites ou adesivos colocados pelo condutor.,O condutor coloca cada roda de uma cor.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q16,1,1,"Placas, Cores e Caminhos",16,facil,Por que o motociclista deve sinalizar antes de virar para direita ou para a esquerda?,,Para avisar aos outros a sua intenção e evitar colisões.,"A sinalização é um ato de segurança, não apenas obrigação.",Só por educação.,Para evitar multa apenas.,Para chamar atenção.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q17,1,1,"Placas, Cores e Caminhos",17,facil,Quais veículos têm apenas placa traseira?,,Motocicletas e motonetas.,"De acordo com o art. 115, § 6º do CTB",Todos os carros de passeio.,Somente ônibus.,Apenas caminhões.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q18,1,1,"Placas, Cores e Caminhos",18,facil,Qual é a função das faixas da esquerda em uma via de várias faixas?,,Servem para ultrapassagem e para veículos mais rápidos.,Isso mantém o fluxo seguro e organizado.,Para caminhões e ônibus.,Para veículos lentos.,Para estacionar.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q19,1,1,"Placas, Cores e Caminhos",19,dificil,"Quando há obras na via e sinalização provisória para acesso a imóveis, o condutor deve:",,Seguir as orientações dos agentes ou trabalhadores da obra.,A sinalização provisória garante segurança durante intervenções.,Forçar a passagem.,Ignorar as barreiras.,Fazer manobra pela contramão.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q20,1,1,"Placas, Cores e Caminhos",20,intermediario,Aproximação de rotatória sem placa de pare nem semáforo. O que fazer?,,"Reduzir, observar e dar passagem a quem já circula dentro.","Preferência interna é a regra. Art. 29, inciso III, alínea b do CTB",Entrar acelerando porque não tem placa.,Parar dentro da rotatória para decidir a saída.,Parar o veículo completamente.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q21,1,1,"Placas, Cores e Caminhos",21,intermediario,"Como se classifica uma pista urbana e elevada, com acesso controlado, sem
cruzamentos, com placas de 80 km/h?",,Via de trânsito rápido.,A classificação de vias encontra-se no anexo do CTB.,Via coletora.,Via local.,Estrada.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q22,1,1,"Placas, Cores e Caminhos",22,intermediario,"Você está em uma via coletora (40 km/h) e vê placa uma 30 km/h . Qual conduta o
motorista deve adotar?",,"Obedecer o limite de 30 km/h, pois sinalização específica prevalece.",Placa vigente regula a via naquele trecho.,Manter 40 km/h da coletora.,Seguir na velocidade que entender melhor.,Ignorar porque é temporária.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q23,1,1,"Placas, Cores e Caminhos",23,intermediario,"Em certa rotatória há placas dando preferência a quem se aproxima. Qual é a
regra que vale?",,"Vale a sinalização do local, pois essa prevalece.",Sinalização pode alterar a preferência local.,Vale a regra geral sempre.,Vale quem buzina.,Vale quem está mais rápido.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q24,1,1,"Placas, Cores e Caminhos",24,facil,"Quando o semáforo passa para a cor amarela, o que um condutor consciente deve fazer?",,Reduzir a velocidade e preparar-se para parar.,A interpretação correta do sinal é uma ação cognitiva essencial.,Acelerar para aproveitar o sinal.,Parar bruscamente no meio da via.,Buzinar para os pedestres atravessarem rápido.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q25,1,1,"Placas, Cores e Caminhos",25,facil,Qual a conduta a ser adotada quando ver uma escola e alunos na calçada?,,Reduzir bem a velocidade e ficar atento a travessias.,Devem ser respeitadas as sinalizações de trânsito e as áreas de segurança.,Seguir no limite da via sem reduzir.,Buzinar para avisar.,Acelerar para passar rápido.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q26,1,1,"Placas, Cores e Caminhos",26,intermediario,"No contexto da sinalização horizontal de estacionamentos, o que a cor azul (faixa
azul) das vagas representa?",,Vaga destinada a pessoas com deficiência.,"O símbolo azul identifica vagas PCD. A sinalização de vagas especiais de estacionamento deve
seguir o padrão de cor azul e ser complementada pela sinalização vertical e pelo símbolo internacional de
acesso (para PCD) ou pelo Símbolo Internacional de Acesso para Idosos. A cor azul é universalmente utilizada
para indicar estas vagas de uso preferencial ou exclusivo.",Vaga rotativa.,Vaga para idosos.,Vaga para carga e descarga.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q27,1,1,"Placas, Cores e Caminhos",27,intermediario,Um motorista vê uma placa de curva perigosa. O que deve fazer?,,Reduzir a velocidade e manter controle do veículo.,"A placa de ""Curva Perigosa"" é uma advertência da condição adversa da via. A Direção Defensiva
exige que o motorista reduza a velocidade no trecho reto antes da curva para que, ao entrar nela, possa
manter a estabilidade e evitar que a força centrífuga jogue o veículo para a contramão ou para fora da pista.",Frear bruscamente no meio da curva.,Acelerar para sair logo.,Ignorar a sinalização.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q28,1,1,"Placas, Cores e Caminhos",28,intermediario,"Um motorista, dirigindo em excesso de velocidade, vê uma placa de curva
perigosa e continua na mesma velocidade. Qual o risco?",,Perder o controle e causar um sinistro.,"A placa de ""Curva Perigosa"" é uma advertência da condição adversa da via. A Direção Defensiva
exige que o motorista reduza a velocidade no trecho reto antes da curva para que, ao entrar nela, possa
manter a estabilidade e evitar que a força centrífuga jogue o veículo para a contramão ou para fora da pista.",Melhorar o tempo de viagem.,Reduzir o consumo de combustível.,Evitar filas.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q29,1,1,"Placas, Cores e Caminhos",29,dificil,"Carlos estaciona seu veículo de passeio em uma vaga com a placa contendo o texto
“Exceto Carga e Descarga – 30 min”. Ele pode permanecer ali com o veículo?",,"Não, pois a vaga é exclusiva para veículos de carga por até 30 minutos.","Conforme estabelece o Art. 181, inciso XVII do CTB, estacionar em desacordo com as condições
regulamentadas especificamente pela placa (no caso, ""Exceto Carga e Descarga"") é infração grave, sujeita a
multa e remoção do veículo. A sinalização vertical restringe o uso da vaga apenas para a finalidade de carga e
descarga, vedando o estacionamento de veículos de passeio ou a permanência por motivos que não o
manuseio de mercadorias.","Sim, se não houver caminhões.","Sim, por menos de 10 minutos.","Sim, desde que com pisca-alerta ligado.",/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q30,1,1,"Placas, Cores e Caminhos",30,dificil,"Um condutor vê a placa acima junto a outra com o texto “Exceto veículos de emergência”.
O que isso significa?",R-14,"A restrição não se aplica a veículos de emergência, como ambulâncias, em serviço.","Conforme as normas de Sinalização de Regulamentação do CONTRAN, a placa principal indica
uma proibição. A placa adicional com a inscrição “Exceto veículos de emergência” atua como um painel
complementar, que estabelece uma exceção à regra geral de proibição. Essa exceção é crucial para garantir
que, em situações de urgência e emergência, o local esteja reservado e desimpedido para o acesso rápido e
vital desses veículos.",Todos os veículos estão liberados.,Somente ônibus podem passar.,É uma placa de advertência.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q31,1,1,"Placas, Cores e Caminhos",31,dificil,Cláudia está de moto e vê a placa acima. Ela pode seguir?,R-10,"Não, pois motocicletas também são veículos automotores.","A proibição se aplica a todos os veículos automotores, incluindo motocicletas, motonetas e
triciclos.","Sim, pois vale apenas para carros.","Sim, se estiver em baixa velocidade.",Apenas se for moradora da rua.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q32,1,1,"Placas, Cores e Caminhos",32,dificil,"Em curvas indicadas por uma placa como esta acima, por que é importante olhar para o
ponto de saída da curva?",A-1b,Para orientar o traçado da direção e manter a trajetória estável.,Antecipar o olhar ajuda a guiar o veículo com suavidade e segurança.,Para observar o retrovisor direito.,Para reduzir o consumo de combustível.,Para verificar o velocímetro.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q33,1,1,"Placas, Cores e Caminhos",33,dificil,"Felipe segue pela faixa da direita e encontra a placa acima, seguida de “Fim da proibição
de mudar de faixa”. O que isso significa?",R-8b,Que ele pode mudar de faixa a partir da segunda placa.,"A placa de “fim de proibição” define o ponto exato onde a manobra volta a ser permitida com
segurança.",Que a proibição vale até o fim da via.,Que a manobra continua proibida.,Que só motos podem mudar de faixa.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q34,1,1,"Placas, Cores e Caminhos",34,dificil,"Júlia conduz um ônibus e encontra a placa acima próxima a uma rotatória. Qual é o
comportamento correto?",R-5a,Seguir em frente e utilizar a rotatória para mudar de sentido.,"A rotatória é o ponto adequado para retornar, respeitando a proibição localizada.",Fazer o retorno antes da rotatória.,Parar sobre a via.,Encostar no acostamento e manobrar.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q35,1,1,"Placas, Cores e Caminhos",35,dificil,O formato circular com borda vermelha da placa indica,,Uma proibição expressa ao condutor.,"As placas circulares de fundo branco e borda vermelha pertencem à classe de regulamentação,
sinalizando ordens obrigatórias.",Uma informação turística.,Uma advertência temporária.,Um serviço de utilidade pública.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q36,1,1,"Placas, Cores e Caminhos",36,dificil,A placa com formato triangular invertido tem como função,,Facilitar o reconhecimento mesmo à distância e indicar atenção.,"O triângulo invertido é símbolo internacional de advertência e cortesia no trânsito, facilmente
identificado por qualquer condutor.",Diferenciar as placas de informação turística.,Servir apenas para fins estéticos.,Indicar uma área de estacionamento.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q37,1,1,"Placas, Cores e Caminhos",37,dificil,O que acontece se o condutor ignorar essa placa e não parar onde for obrigado?,A-15,Ele comete infração gravíssima.,Deixar de parar diante da placa PARE é infração gravíssima (CTB art. 208).,Ele será apenas advertido verbalmente.,Não acontece nada.,O veículo é removido imediatamente.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q38,1,1,"Placas, Cores e Caminhos",38,intermediario,O que essa placa está avisando?,A-17,Que a pista tem irregularidades no pavimento.,"A placa alerta sobre buracos, remendos ou deformações na via.",Que há um quebra-molas.,Que a pista é nova e lisa.,Que há obras à frente.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q39,1,1,"Placas, Cores e Caminhos",39,intermediario,O que indica a placa acima - Cruz de Santo André?,A-41,"O início de uma passagem de nível, onde a pista cruza com uma linha de trem.","A placa alerta que o motorista está prestes a cruzar trilhos ferroviários e deve redobrar a
atenção.",Uma ponte sobre o rio.,Um cruzamento entre duas vias urbanas.,Um local de pedágio.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q40,1,1,"Placas, Cores e Caminhos",40,intermediario,O que indica a placa acima?,R-33,O sentido obrigatório de circulação na rotatória - Neste caso anti-horário.,"O símbolo de setas circulares indica o sentido único que todos os veículos devem seguir na
rotatória.",O ponto de parada obrigatória.,A entrada proibida na via.,A preferência de pedestres.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q41,1,1,"Placas, Cores e Caminhos",41,intermediario,O que indica a placa acima?,R-44,"Que pedestres e ciclistas devem compartilhar o mesmo espaço com atenção e respeito
mútuo.",Essa placa indica convivência entre pedestres e ciclistas.,Que apenas ciclistas podem circular.,Que é proibido o trânsito de bicicletas.,Que pedestres devem usar bicicletas para passar.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q42,1,1,"Placas, Cores e Caminhos",42,intermediario,O que o motorista deve fazer ao ver essa placa?,A-20a,Reduzir a velocidade e usar freio motor.,A redução de velocidade antes da descida garante segurança e controle do veículo.,Acelerar para descer mais rápido.,Ligar o pisca-alerta.,Frear só quando o carro já estiver em alta velocidade.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q43,1,1,"Placas, Cores e Caminhos",43,intermediario,Qual o significado da placa acima?,A-31,Indica a presença ou o cruzamento de máquinas agrícolas na pista.,"Indica a presença ou o cruzamento de máquinas agrícolas na pista, comuns em zonas rurais,
áreas de produção ou colheita, e alerta o condutor a reduzir a velocidade e manter distãncia segura.","Indica que o condutor deve ultrapassar sempre que possível, mesmo sem visibilidade.",Indica que o condutor deve ignorar o aviso e seguir em alta velocidade.,Indica que o condutor deve ultrapassar pelo acostamento.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q44,1,1,"Placas, Cores e Caminhos",44,intermediario,Por que a placa acima é importante em vias urbanas com semáforo?,R-25c,Porque ajuda a definir fluxos compatíveis com o tempo semafórico.,"Garante harmonia entre sinalização vertical e semafórica, evitando conflitos.",Porque indica estacionamento permitido.,Porque dispensa o uso da seta.,Porque reduz a visibilidade.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q45,1,1,"Placas, Cores e Caminhos",45,dificil,Qual é a diferença entre a curva indicada pela placa acima à esquerda e a da direita?,A-2a,A acima à esquerda indica uma curva menos acentuada.,"A-2a é usada para curvas suaves e a A-1a, para curvas acentuadas.",A acima à esquerda indica uma curva muito mais fechada.,A acima à esquerda proíbe o tráfego de caminhões.,A acima à esquerda é usada apenas em rotatórias.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q46,1,1,"Placas, Cores e Caminhos",46,dificil,"Qual é a diferença entre a placa “Trânsito de pedestres” e a placa “Passagem sinalizada
de pedestres”?",A-32a e A-32b,"A primeira indica o trânsito frequente de pedestres, enquanto a segunda indica a presença
de faixa de pedestres sinalizada.","A diferença está na representação da faixa no pictograma: a A-32b mostra o pedestre sobre a
faixa sinalizada, enquanto a A-32a indica apenas a presença de pedestres circulando com frequência.",Ambas têm o mesmo significado.,A primeira é obrigatória e a segunda é proibitiva.,A placa indica travessia de ciclistas.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q47,1,1,"Placas, Cores e Caminhos",47,dificil,"Qual é o principal motivo de sinistros em locais com junções sucessivas contrárias,
conforme sinalizado acima?",A-11a,Falta de atenção do motorista que não percebe os veículos entrando ou cruzando.,A distração é a causa mais comum de colisões laterais nesses pontos.,Defeito no veículo.,Falta de acostamento.,Má conservação da pintura da placa.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q48,1,1,"Placas, Cores e Caminhos",48,dificil,Qual o principal erro que causa sinistro em cruzamentos como o da placa?,A-11a,Falta de atenção e avanço sem observar os outros veículos.,A distração e o avanço apressado são causas comuns de colisão lateral.,Usar o cinto de segurança.,Manter velocidade reduzida.,Parar para observar o trânsito.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q49,1,1,"Placas, Cores e Caminhos",49,intermediario,Qual o principal objetivo da restrição indicada pela placa acima?,R-38,Aumentar a segurança e preservar o fluxo adequado de veículos leves.,A restrição evita congestionamentos e riscos estruturais.,Reduzir a velocidade dos ônibus nas rodovias.,Induzir o uso de veículos particulares.,Garantir estacionamento público.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q50,1,1,"Placas, Cores e Caminhos",50,intermediario,"Se a via deixa de ser duplicada e surge a placa acima, o que isso significa para o
condutor?",R-28,Que haverá tráfego nos dois sentidos em um mesmo pavimento.,Essa sinalização marca o fim da separação física de pistas.,Que a via passa a ser exclusiva para ônibus.,Que deve parar o veículo.,Que o limite de velocidade aumenta.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q51,1,1,"Placas, Cores e Caminhos",51,facil,A placa “PARE” exige que o motorista:,R-1,Faça parada total e só siga após garantir segurança.,"Parar completamente é uma obrigação legal, mesmo se o cruzamento parecer livre.",Diminua a marcha e buzine antes de cruzar.,Avance se tiver prioridade.,Pare apenas se houver pedestres.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q52,1,1,"Placas, Cores e Caminhos",52,facil,A placa “Sentido Proibido” serve para:,R-3,"A entrada de veículos naquela via ou faixa é proibida, pois o tráfego flui no sentido
contrário.","É usada para manter a ordem de fluxo e evitar entrada em vias de sentido único no sentido
contrário.",Avisar sobre obras na pista.,Indicar estacionamento regulamentado.,Mostrar a existência de pedágio.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q53,1,1,"Placas, Cores e Caminhos",53,facil,A placa acima obriga o condutor a:,R-25a,Virar à esquerda no local indicado.,A seta curvada indica que o motorista deve obrigatoriamente virar à esquerda.,Seguir em frente.,Virar à direita.,Fazer retorno.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q54,1,1,"Placas, Cores e Caminhos",54,facil,A placa acima proíbe o motorista de:,R-4a,"Fazer conversão à esquerda, inclusive retorno.",A seta cortada para a esquerda representa a proibição de virar ou retornar nessa direção.,Fazer conversão à direita.,Parar o veículo.,Entrar em via preferencial.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q55,1,1,"Placas, Cores e Caminhos",55,facil,A principal diferença entre a placa “Dê a Preferência” e a placa “PARE” é que:,,"Na placa “dê a preferência” o condutor só para se houver necessidade, na placa “pare” a
parada é obrigatória.","“Dê a Preferência” indica atenção e redução de velocidade, com parada apenas se necessário,
já “PARE” exige parada total.",Ambas obrigam parada total.,A “Dê a Preferência” é usada em rodovias e a “PARE” apenas em cidades.,A “Dê a Preferência” indica via sem cruzamento.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q56,1,1,"Placas, Cores e Caminhos",56,facil,A principal função da placa acima é:,A-42a,"Alertar o motorista sobre o início de uma pista dividida, aumentando a segurança do
tráfego.","A placa orienta o condutor sobre mudança física na via, melhorando a organização do tráfego.",Informar que há pedágio adiante.,Indicar pista escorregadia.,Anunciar a presença de curvas perigosas.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
p1-m1-q57,1,1,"Placas, Cores e Caminhos",57,facil,"Ana dirige em pista simples e encontra a placa acima. Essa proibição deve ser seguida
enquanto:",R-7,Houver essa sinalização na via.,A sinalização de fim de proibição deve indicar claramente o término da restrição.,O condutor achar que é seguro.,Houver espaço suficiente.,O veículo da frente mantiver a velocidade.,/Users/lucianodiisouza/Documents/projects/autocurso-2000/Banco Nacional de Questões.pdf
